track_popularity,playlist_name,danceability,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
83,20,0.59,7,1,0.122,0.0771,0.0,0.105,0.651,107.356,174444.0
83,20,0.791,5,0,0.0439,0.0623,0.0,0.156,0.181,99.961,156347.0
71,20,0.564,5,1,0.0584,0.0728,0.0,0.151,0.717,97.878,165767.0
81,20,0.669,8,1,0.136,0.268,0.0,0.0594,0.541,109.919,201072.0
85,20,0.77,8,1,0.0602,0.194,0.0,0.316,0.385,99.991,223523.0
76,20,0.513,0,1,0.0364,0.00968,0.0,0.11,0.234,139.987,238459.0
71,20,0.72,0,1,0.208,0.0856,0.0,0.16,0.659,96.048,191612.0
65,20,0.789,5,1,0.0404,0.22,4.58e-05,0.335,0.491,110.012,173455.0
67,20,0.294,3,1,0.042,0.12,0.0,0.0977,0.357,85.332,209893.0
74,20,0.665,6,0,0.0617,0.18,0.0,0.125,0.5,101.976,228112.0
81,20,0.46,1,1,0.05,0.289,6.16e-06,0.121,0.553,102.46,220396.0
71,20,0.362,1,0,0.486,0.123,0.0,0.19,0.529,172.191,180840.0
75,20,0.686,8,1,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,214634.0
73,20,0.618,11,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,210944.0
79,20,0.665,11,1,0.0578,0.423,0.0,0.0969,0.585,124.896,190932.0
74,20,0.661,6,1,0.0563,0.0253,0.0,0.123,0.605,119.927,197939.0
63,20,0.571,3,1,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,192941.0
79,20,0.591,9,0,0.079,0.381,0.000116,0.131,0.27,121.799,215316.0
16,20,0.652,7,0,0.0361,0.29,0.0,0.073,0.472,114.043,193377.0
75,20,0.706,10,1,0.215,0.0911,0.0,0.347,0.293,107.184,201253.0
75,20,0.404,2,1,0.0496,0.198,0.0,0.114,0.112,148.036,220730.0
55,20,0.876,4,1,0.0486,0.0812,1.29e-06,0.457,0.685,121.991,185062.0
30,20,0.802,5,0,0.0715,0.272,0.0,0.119,0.376,100.001,157202.0
62,20,0.906,5,0,0.0718,0.0909,0.0,0.152,0.751,104.03,159753.0
84,20,0.753,7,1,0.0449,0.171,0.0,0.112,0.437,107.01,184732.0
70,20,0.693,5,1,0.0723,0.185,0.0,0.0639,0.378,95.972,160998.0
37,20,0.672,1,0,0.0981,0.00246,0.0,0.577,0.341,115.033,226093.0
70,20,0.581,0,1,0.0406,0.16,0.0,0.183,0.523,104.099,205787.0
74,20,0.643,2,1,0.0318,0.0128,0.0,0.118,0.442,144.033,216668.0
85,20,0.674,9,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480.0
36,20,0.691,0,1,0.103,0.246,0.163,0.178,0.329,99.972,182668.0
52,20,0.661,7,1,0.0864,0.0797,0.0,0.106,0.387,114.098,224061.0
58,20,0.653,1,1,0.0756,0.109,0.0,0.136,0.652,110.214,178501.0
72,20,0.734,0,1,0.0361,0.0878,0.0,0.341,0.55,110.021,154024.0
64,20,0.663,11,1,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,197880.0
63,20,0.55,5,0,0.0458,0.0113,9.65e-05,0.137,0.408,125.85,170079.0
77,20,0.703,7,0,0.0291,0.15,0.132,0.104,0.733,121.03,193613.0
76,20,0.44,11,1,0.0326,0.129,0.0,0.121,0.327,128.133,207095.0
74,20,0.625,2,1,0.0337,0.22,0.0,0.213,0.479,138.064,248156.0
56,20,0.625,4,1,0.0612,0.048,0.0,0.0668,0.326,101.091,202072.0
77,20,0.547,8,1,0.0489,0.145,0.0,0.11,0.723,118.118,186805.0
71,20,0.673,10,1,0.0354,0.166,0.0,0.11,0.19,123.969,208567.0
64,20,0.699,6,1,0.0362,0.0453,0.0,0.101,0.458,123.449,184533.0
82,20,0.647,3,0,0.0552,0.157,0.0,0.0844,0.767,114.996,198996.0
81,20,0.588,0,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173.0
41,20,0.655,2,0,0.0799,0.295,0.00108,0.0788,0.224,107.992,215446.0
62,20,0.79,6,1,0.0438,0.0264,0.0892,0.24,0.362,122.99,189165.0
5,20,0.611,0,0,0.0476,0.0145,0.0,0.107,0.574,124.169,200318.0
72,20,0.726,4,1,0.0882,0.524,2.64e-06,0.0943,0.516,128.02,160312.0
24,20,0.714,10,1,0.0995,0.292,0.000386,0.126,0.471,114.994,219521.0
58,20,0.619,5,1,0.35,0.0257,1.39e-05,0.128,0.601,94.38,207428.0
65,20,0.575,1,1,0.0439,0.0446,0.0,0.0693,0.232,127.922,179531.0
64,20,0.768,5,1,0.112,0.00627,5.33e-06,0.343,0.664,119.971,166000.0
53,20,0.767,6,0,0.188,0.559,0.000363,0.193,0.657,107.042,203200.0
72,20,0.466,8,0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,239067.0
39,20,0.434,9,0,0.0633,0.301,1.8e-05,0.289,0.622,121.967,147554.0
75,20,0.744,8,0,0.0562,0.0547,0.000802,0.32,0.847,125.002,188640.0
60,20,0.837,8,0,0.0533,0.0527,0.00642,0.11,0.484,109.993,157159.0
18,20,0.514,2,1,0.0717,0.00123,6.34e-06,0.544,0.351,117.014,228502.0
79,20,0.69,5,0,0.0622,0.253,0.0,0.116,0.544,102.04,210091.0
60,20,0.466,3,1,0.0529,0.0142,0.00241,0.115,0.185,126.113,187150.0
83,20,0.842,8,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500.0
85,20,0.748,8,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960.0
47,20,0.647,9,1,0.0451,0.025,0.056,0.0616,0.477,115.002,243091.0
74,20,0.509,8,1,0.072,0.0398,0.0,0.0749,0.176,128.0,271427.0
80,20,0.737,11,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653.0
